warehouse_id,item,serialno,supply_invoiceno,modelno,item_type,transaction_mode,description,brand,supplier_id,cost_price,selling_price,quantity
10,Adult Hair Cut,B0002,,,Barbering,Service,,,1,0,20,1
10,Comb Twist Long Hair,B0005,,,Barbering,Service,,,1,0,50,1
10,Comb Twist Short Hair,B0031,,,Barbering,Service,,,1,0,40,1
10,Adult Hair Cut & Dye,B0040,,,Barbering,service,,,1,0,40,1
10,Company Dye,B0022,,,Barbering,Service,,,1,0,35,1
10,Customer Dye,B0023,,,Barbering,Service,,,1,0,40,1
10,Cut & Color,B0014,,,Barbering,Service,,,1,0,50,1
10,European Hair Cut,B0003,,,Barbering,Service,,,1,0,30,1
10,EYE BROW,B0019,,,Barbering,Service,,,1,0,5,1
10,Foam Twist Long Hair,B0030,,,Barbering,Service,,,1,0,50,1
10,Foam Twist Short Hair,B0006,,,Barbering,Service,,,1,0,35,1
10,Hand Twist,B0004,,,Barbering,Service,,,1,0,45,1
10,Kids Hair Cut,B0001,,,Barbering,Service,,,1,0,10,1
10,Ladies Hair Cut with Scissors,B0020,,,Barbering,Service,,,1,0,35,1
10,Ladies Hair cut without Scissors,B0032,,,Barbering,Service,,,1,0,30,1
10,Manicure,B0012,,,Barbering,Service,,,1,0,20,1
10,Pedicure,B0013,,,Barbering,Service,,,1,0,35,1
10,Pedicure,B0039,,,Barbering,Service,,,1,0,30,1
10,Permanent Lock (short),B0028,,,Barbering,Service,,,1,0,90,1
10,Permanent Locks Long,B0016,,,Barbering,Service,,,1,0,130,1
10,Polish,B0021,,,Barbering,Service,,,1,0,10,1
10,Polish,B0024,,,Barbering,Service,,,1,0,10,1
10,Polish,B0025,,,Barbering,Service,,,1,0,10,1
10,Re-Twist (Long Hair),B0007,,,Barbering,Service,,,1,0,60,1
10,Re-Twist (Short Hair),B0008,,,Barbering,Service,,,1,0,40,1
10,Shaving ,B0011,,,Barbering,Service,,,1,0,10,1
10,Spotting Waves (Long Hair),B0009,,,Barbering,Service,,,1,0,55,1
10,Spotting Waves (Short Hair),B0010,,,Barbering,Service,,,1,0,40,1
10,Design,N0012,,,Nails,Service,,,1,0,5,1
10,Dissolving,N0005,,,Nails,Service,,,1,0,8,1
10,Dissolving & Polish,N0006,,,Nails,Service,,,1,0,10,1
10,French Tip,N0002,,,Nails,Service,,,1,0,25,1
10,French Tip,N00012,,,Nails,Service,,,1,0,20,1
10,Gel,N0014,,,Nails,Service,,,1,0,30,1
